STATES/Uts,CRIME TYPE,CASES,YEAR,,,
Uttar Pradesh,1.2.1 - Rape_Gang Rape,573,2014,,,
Uttar Pradesh,1.2.2 - Rape_Others,2705,2014,,,
Uttar Pradesh,2 - Attempt to commit Rape (Section 376 & 511 IPC),324,2014,,,
Uttar Pradesh,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",10626,2014,,,
Uttar Pradesh,3.1 - Kidnaping & Abduction Section 363 IPC,2621,2014,,,
Uttar Pradesh,3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC,68,2014,,,
Uttar Pradesh,3.3 - Kidnapping for Ransom Section 364A,1,2014,,,
Uttar Pradesh,3.4 - Kidnapping & Abduction of Women to compel her for marriage,7338,2014,,,
Uttar Pradesh,3.5 - Kidnapping & Abduction of Women-Other,598,2014,,,
Uttar Pradesh,4 - Dowry Deaths (Section 304-B IPC),2469,2014,,,
Uttar Pradesh,5.1 - Sexual Harassment,4435,2014,,,
Uttar Pradesh,5.2 - Assault on women with intent to Disrobe,1066,2014,,,
Uttar Pradesh,5.3 - Voyeurism,75,2014,,,
Uttar Pradesh,5.4 - Stalking,835,2014,,,
Uttar Pradesh,5.5 - Others,2194,2014,,,
Uttar Pradesh,6.1 - At Office premises,0,2014,,,
Uttar Pradesh,6.2 - Other places related to work,2,2014,,,
Uttar Pradesh,6.3 - In Public Transport system,3,2014,,,
Uttar Pradesh,6.4 - in Other Places,24,2014,,,
Uttar Pradesh,7 - Cruelty by Husband or his Relatives (Section 498A),10471,2014,,,
Uttar Pradesh,8 - Importation of Girls from Foreign Country (Section 366B IPC),0,2014,,,
Uttar Pradesh,9 - Abetment of Suicides of Women u/s 306 IPC,239,2014,,,
Uttar Pradesh,"10 - Dowry Prohibition Act, 1961",2133,2014,,,
Uttar Pradesh,"11 - Indecent Representation of Women (Prohibition) Act, 1986",1,2014,,,
Uttar Pradesh,12 - Commission of Sati Prevention Act 1987,0,2014,,,
Uttar Pradesh,"13 - Protection of Women from Domestic Violence Act, 2005",66,2014,,,
Uttar Pradesh,14 - Immoral Traffic (Prevention) Act (Women Cases only),37,2014,,,
Uttar Pradesh,14.1 - Under ITP Section 5,21,2014,,,
Uttar Pradesh,14.2 - Under ITP Section 6,10,2014,,,
Uttar Pradesh,14.3 - Under ITP Section 7,0,2014,,,
Uttar Pradesh,14.4 - Under ITP Section 8,0,2014,,,
Uttar Pradesh,14.5 - Other Sections under ITP Act,6,2014,,,
Uttarakhand,1 - Rape (Section 376 IPC),270,2014,,,
Uttarakhand,1.1 - Custodial Rape,0,2014,,,
Uttarakhand,1.1.1 - Custodial_Gang Rape,0,2014,,,
Uttarakhand,1.1.2 - Custodial_Other Rape,0,2014,,,
Uttarakhand,1.2 - Rape other than Custodial,270,2014,,,
Uttarakhand,1.2.1 - Rape_Gang Rape,1,2014,,,
Uttarakhand,1.2.2 - Rape_Others,269,2014,,,
Uttarakhand,2 - Attempt to commit Rape (Section 376 & 511 IPC),41,2014,,,
Uttarakhand,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",275,2014,,,
Uttarakhand,3.1 - Kidnaping & Abduction Section 363 IPC,62,2014,,,
Uttarakhand,3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC,1,2014,,,
Uttarakhand,3.3 - Kidnapping for Ransom Section 364A,0,2014,,,
Uttarakhand,3.4 - Kidnapping & Abduction of Women to compel her for marriage,10,2014,,,
Uttarakhand,3.5 - Kidnapping & Abduction of Women-Other,202,2014,,,
Uttarakhand,4 - Dowry Deaths (Section 304-B IPC),38,2014,,,
Uttarakhand,5.1 - Sexual Harassment,22,2014,,,
Uttarakhand,5.2 - Assault on women with intent to Disrobe,24,2014,,,
Uttarakhand,5.3 - Voyeurism,1,2014,,,
Uttarakhand,5.4 - Stalking,7,2014,,,
Uttarakhand,5.5 - Others,289,2014,,,
Uttarakhand,6.1 - At Office premises,0,2014,,,
Uttarakhand,6.2 - Other places related to work,0,2014,,,
Uttarakhand,6.3 - In Public Transport system,0,2014,,,
Uttarakhand,6.4 - in Other Places,4,2014,,,
Uttarakhand,7 - Cruelty by Husband or his Relatives (Section 498A),301,2014,,,
Uttarakhand,8 - Importation of Girls from Foreign Country (Section 366B IPC),0,2014,,,
Uttarakhand,9 - Abetment of Suicides of Women u/s 306 IPC,0,2014,,,
Uttarakhand,"10 - Dowry Prohibition Act, 1961",104,2014,,,
Uttarakhand,"11 - Indecent Representation of Women (Prohibition) Act, 1986",0,2014,,,
Uttarakhand,12 - Commission of Sati Prevention Act 1987,0,2014,,,
Uttarakhand,"13 - Protection of Women from Domestic Violence Act, 2005",0,2014,,,
Uttarakhand,14 - Immoral Traffic (Prevention) Act (Women Cases only),19,2014,,,
Uttarakhand,14.1 - Under ITP Section 5,12,2014,,,
Uttarakhand,14.2 - Under ITP Section 6,0,2014,,,
Uttarakhand,14.3 - Under ITP Section 7,0,2014,,,
Uttarakhand,14.4 - Under ITP Section 8,0,2014,,,
Uttarakhand,14.5 - Other Sections under ITP Act,7,2014,,,
West Bengal,1 - Rape (Section 376 IPC),1466,2014,,,
West Bengal,1.1 - Custodial Rape,0,2014,,,
West Bengal,1.1.1 - Custodial_Gang Rape,0,2014,,,
West Bengal,1.1.2 - Custodial_Other Rape,0,2014,,,
West Bengal,1.2 - Rape other than Custodial,1466,2014,,,
West Bengal,1.2.1 - Rape_Gang Rape,178,2014,,,
West Bengal,1.2.2 - Rape_Others,1288,2014,,,
West Bengal,2 - Attempt to commit Rape (Section 376 & 511 IPC),1656,2014,,,
West Bengal,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",4976,2014,,,
West Bengal,3.1 - Kidnaping & Abduction Section 363 IPC,1604,2014,,,
West Bengal,3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC,11,2014,,,
West Bengal,3.3 - Kidnapping for Ransom Section 364A,36,2014,,,
West Bengal,3.4 - Kidnapping & Abduction of Women to compel her for marriage,1198,2014,,,
West Bengal,3.5 - Kidnapping & Abduction of Women-Other,2127,2014,,,
West Bengal,4 - Dowry Deaths (Section 304-B IPC),501,2014,,,
West Bengal,5.1 - Sexual Harassment,1045,2014,,,
West Bengal,5.2 - Assault on women with intent to Disrobe,687,2014,,,
West Bengal,5.3 - Voyeurism,57,2014,,,
West Bengal,5.4 - Stalking,259,2014,,,
West Bengal,5.5 - Others,3622,2014,,,
West Bengal,6.1 - At Office premises,4,2014,,,
West Bengal,6.2 - Other places related to work,5,2014,,,
West Bengal,6.3 - In Public Transport system,8,2014,,,
West Bengal,6.4 - in Other Places,526,2014,,,
West Bengal,7 - Cruelty by Husband or his Relatives (Section 498A),23278,2014,,,
West Bengal,8 - Importation of Girls from Foreign Country (Section 366B IPC),4,2014,,,
West Bengal,9 - Abetment of Suicides of Women u/s 306 IPC,119,2014,,,
West Bengal,"10 - Dowry Prohibition Act, 1961",1,2014,,,
West Bengal,"11 - Indecent Representation of Women (Prohibition) Act, 1986",4,2014,,,
West Bengal,12 - Commission of Sati Prevention Act 1987,0,2014,,,
West Bengal,"13 - Protection of Women from Domestic Violence Act, 2005",1,2014,,,
West Bengal,14 - Immoral Traffic (Prevention) Act (Women Cases only),80,2014,,,
West Bengal,14.1 - Under ITP Section 5,20,2014,,,
West Bengal,14.2 - Under ITP Section 6,3,2014,,,
West Bengal,14.3 - Under ITP Section 7,5,2014,,,
West Bengal,14.4 - Under ITP Section 8,1,2014,,,
West Bengal,14.5 - Other Sections under ITP Act,51,2014,,,
A&N Islands,1 - Rape (Section 376 IPC),32,2014,,,
A&N Islands,1.1 - Custodial Rape,0,2014,,,
A&N Islands,1.1.1 - Custodial_Gang Rape,0,2014,,,
A&N Islands,1.1.2 - Custodial_Other Rape,0,2014,,,
A&N Islands,1.2 - Rape other than Custodial,32,2014,,,
A&N Islands,1.2.1 - Rape_Gang Rape,1,2014,,,
A&N Islands,1.2.2 - Rape_Others,31,2014,,,
A&N Islands,2 - Attempt to commit Rape (Section 376 & 511 IPC),0,2014,,,
A&N Islands,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",17,2014,,,
A&N Islands,3.1 - Kidnaping & Abduction Section 363 IPC,11,2014,,,
A&N Islands,3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC,0,2014,,,
A&N Islands,3.3 - Kidnapping for Ransom Section 364A,0,2014,,,
A&N Islands,3.4 - Kidnapping & Abduction of Women to compel her for marriage,0,2014,,,
A&N Islands,3.5 - Kidnapping & Abduction of Women-Other,6,2014,,,
A&N Islands,4 - Dowry Deaths (Section 304-B IPC),3,2014,,,
A&N Islands,5.1 - Sexual Harassment,18,2014,,,
A&N Islands,5.2 - Assault on women with intent to Disrobe,1,2014,,,
A&N Islands,5.3 - Voyeurism,1,2014,,,
A&N Islands,5.4 - Stalking,4,2014,,,
A&N Islands,5.5 - Others,17,2014,,,
A&N Islands,6.1 - At Office premises,0,2014,,,
A&N Islands,6.2 - Other places related to work,0,2014,,,
A&N Islands,6.3 - In Public Transport system,0,2014,,,
A&N Islands,6.4 - in Other Places,5,2014,,,
A&N Islands,7 - Cruelty by Husband or his Relatives (Section 498A),14,2014,,,
A&N Islands,8 - Importation of Girls from Foreign Country (Section 366B IPC),0,2014,,,
A&N Islands,9 - Abetment of Suicides of Women u/s 306 IPC,2,2014,,,
A&N Islands,"10 - Dowry Prohibition Act, 1961",0,2014,,,
A&N Islands,"11 - Indecent Representation of Women (Prohibition) Act, 1986",0,2014,,,
A&N Islands,12 - Commission of Sati Prevention Act 1987,0,2014,,,
A&N Islands,"13 - Protection of Women from Domestic Violence Act, 2005",0,2014,,,
A&N Islands,14 - Immoral Traffic (Prevention) Act (Women Cases only),1,2014,,,
A&N Islands,14.1 - Under ITP Section 5,1,2014,,,
A&N Islands,14.2 - Under ITP Section 6,0,2014,,,
A&N Islands,14.3 - Under ITP Section 7,0,2014,,,
A&N Islands,14.4 - Under ITP Section 8,0,2014,,,
A&N Islands,14.5 - Other Sections under ITP Act,0,2014,,,
Chandigarh,1 - Rape (Section 376 IPC),59,2014,,,
Chandigarh,1.1 - Custodial Rape,0,2014,,,
Chandigarh,1.1.1 - Custodial_Gang Rape,0,2014,,,
Chandigarh,1.1.2 - Custodial_Other Rape,0,2014,,,
Chandigarh,1.2 - Rape other than Custodial,59,2014,,,
Chandigarh,1.2.1 - Rape_Gang Rape,0,2014,,,
Chandigarh,1.2.2 - Rape_Others,59,2014,,,
Chandigarh,2 - Attempt to commit Rape (Section 376 & 511 IPC),6,2014,,,
Chandigarh,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",133,2014,,,
Chandigarh,3.1 - Kidnaping & Abduction Section 363 IPC,84,2014,,,
Chandigarh,3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC,0,2014,,,
Chandigarh,3.3 - Kidnapping for Ransom Section 364A,0,2014,,,
Chandigarh,3.4 - Kidnapping & Abduction of Women to compel her for marriage,43,2014,,,
Chandigarh,3.5 - Kidnapping & Abduction of Women-Other,6,2014,,,
Chandigarh,4 - Dowry Deaths (Section 304-B IPC),2,2014,,,
Chandigarh,5.1 - Sexual Harassment,31,2014,,,
Chandigarh,5.2 - Assault on women with intent to Disrobe,3,2014,,,
Chandigarh,5.3 - Voyeurism,2,2014,,,
Chandigarh,5.4 - Stalking,10,2014,,,
Chandigarh,5.5 - Others,41,2014,,,
Chandigarh,6.1 - At Office premises,0,2014,,,
Chandigarh,6.2 - Other places related to work,0,2014,,,
Chandigarh,6.3 - In Public Transport system,0,2014,,,
Chandigarh,6.4 - in Other Places,2,2014,,,
Chandigarh,7 - Cruelty by Husband or his Relatives (Section 498A),141,2014,,,
Chandigarh,8 - Importation of Girls from Foreign Country (Section 366B IPC),0,2014,,,
Chandigarh,9 - Abetment of Suicides of Women u/s 306 IPC,0,2014,,,
Chandigarh,"10 - Dowry Prohibition Act, 1961",2,2014,,,
Chandigarh,"11 - Indecent Representation of Women (Prohibition) Act, 1986",0,2014,,,
Chandigarh,12 - Commission of Sati Prevention Act 1987,0,2014,,,
Chandigarh,"13 - Protection of Women from Domestic Violence Act, 2005",0,2014,,,
Chandigarh,14 - Immoral Traffic (Prevention) Act (Women Cases only),0,2014,,,
Chandigarh,14.1 - Under ITP Section 5,0,2014,,,
Chandigarh,14.2 - Under ITP Section 6,0,2014,,,
Chandigarh,14.3 - Under ITP Section 7,0,2014,,,
Chandigarh,14.4 - Under ITP Section 8,0,2014,,,
Chandigarh,14.5 - Other Sections under ITP Act,0,2014,,,
D&N Haveli,1 - Rape (Section 376 IPC),5,2014,,,
D&N Haveli,1.1 - Custodial Rape,0,2014,,,
D&N Haveli,1.1.1 - Custodial_Gang Rape,0,2014,,,
D&N Haveli,1.1.2 - Custodial_Other Rape,0,2014,,,
D&N Haveli,1.2 - Rape other than Custodial,5,2014,,,
D&N Haveli,1.2.1 - Rape_Gang Rape,0,2014,,,
D&N Haveli,1.2.2 - Rape_Others,5,2014,,,
D&N Haveli,2 - Attempt to commit Rape (Section 376 & 511 IPC),0,2014,,,
D&N Haveli,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",7,2014,,,
D&N Haveli,3.1 - Kidnaping & Abduction Section 363 IPC,7,2014,,,
D&N Haveli,3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC,0,2014,,,
D&N Haveli,3.3 - Kidnapping for Ransom Section 364A,0,2014,,,
D&N Haveli,3.4 - Kidnapping & Abduction of Women to compel her for marriage,0,2014,,,
D&N Haveli,3.5 - Kidnapping & Abduction of Women-Other,0,2014,,,
D&N Haveli,4 - Dowry Deaths (Section 304-B IPC),0,2014,,,
D&N Haveli,5.1 - Sexual Harassment,0,2014,,,
D&N Haveli,5.2 - Assault on women with intent to Disrobe,0,2014,,,
D&N Haveli,5.3 - Voyeurism,0,2014,,,
D&N Haveli,5.4 - Stalking,0,2014,,,
D&N Haveli,5.5 - Others,2,2014,,,
D&N Haveli,6.1 - At Office premises,0,2014,,,
D&N Haveli,6.2 - Other places related to work,0,2014,,,
D&N Haveli,6.3 - In Public Transport system,0,2014,,,
D&N Haveli,6.4 - in Other Places,1,2014,,,
D&N Haveli,7 - Cruelty by Husband or his Relatives (Section 498A),6,2014,,,
D&N Haveli,8 - Importation of Girls from Foreign Country (Section 366B IPC),0,2014,,,
D&N Haveli,9 - Abetment of Suicides of Women u/s 306 IPC,0,2014,,,
D&N Haveli,"10 - Dowry Prohibition Act, 1961",0,2014,,,
D&N Haveli,"11 - Indecent Representation of Women (Prohibition) Act, 1986",0,2014,,,
D&N Haveli,12 - Commission of Sati Prevention Act 1987,0,2014,,,
D&N Haveli,"13 - Protection of Women from Domestic Violence Act, 2005",0,2014,,,
D&N Haveli,14 - Immoral Traffic (Prevention) Act (Women Cases only),0,2014,,,
D&N Haveli,14.1 - Under ITP Section 5,0,2014,,,
D&N Haveli,14.2 - Under ITP Section 6,0,2014,,,
D&N Haveli,14.3 - Under ITP Section 7,0,2014,,,
D&N Haveli,14.4 - Under ITP Section 8,0,2014,,,
D&N Haveli,14.5 - Other Sections under ITP Act,0,2014,,,
Daman & Diu,1 - Rape (Section 376 IPC),2,2014,,,
Daman & Diu,1.1 - Custodial Rape,0,2014,,,
Daman & Diu,1.1.1 - Custodial_Gang Rape,0,2014,,,
Daman & Diu,1.1.2 - Custodial_Other Rape,0,2014,,,
Daman & Diu,1.2 - Rape other than Custodial,2,2014,,,
Daman & Diu,1.2.1 - Rape_Gang Rape,0,2014,,,
Daman & Diu,1.2.2 - Rape_Others,2,2014,,,
Daman & Diu,2 - Attempt to commit Rape (Section 376 & 511 IPC),0,2014,,,
Daman & Diu,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",1,2014,,,
Daman & Diu,3.1 - Kidnaping & Abduction Section 363 IPC,1,2014,,,
Daman & Diu,3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC,0,2014,,,
Daman & Diu,3.3 - Kidnapping for Ransom Section 364A,0,2014,,,
Daman & Diu,3.4 - Kidnapping & Abduction of Women to compel her for marriage,0,2014,,,
Daman & Diu,3.5 - Kidnapping & Abduction of Women-Other,0,2014,,,
Daman & Diu,4 - Dowry Deaths (Section 304-B IPC),0,2014,,,
Daman & Diu,5.1 - Sexual Harassment,3,2014,,,
Daman & Diu,5.2 - Assault on women with intent to Disrobe,0,2014,,,
Daman & Diu,5.3 - Voyeurism,0,2014,,,
Daman & Diu,5.4 - Stalking,0,2014,,,
Daman & Diu,5.5 - Others,0,2014,,,
Daman & Diu,6.1 - At Office premises,0,2014,,,
Daman & Diu,6.2 - Other places related to work,0,2014,,,
Daman & Diu,6.3 - In Public Transport system,0,2014,,,
Daman & Diu,6.4 - in Other Places,0,2014,,,
Daman & Diu,7 - Cruelty by Husband or his Relatives (Section 498A),1,2014,,,
Daman & Diu,8 - Importation of Girls from Foreign Country (Section 366B IPC),0,2014,,,
Daman & Diu,9 - Abetment of Suicides of Women u/s 306 IPC,0,2014,,,
Daman & Diu,"10 - Dowry Prohibition Act, 1961",0,2014,,,
Daman & Diu,"11 - Indecent Representation of Women (Prohibition) Act, 1986",0,2014,,,
Daman & Diu,12 - Commission of Sati Prevention Act 1987,0,2014,,,
Daman & Diu,"13 - Protection of Women from Domestic Violence Act, 2005",0,2014,,,
Daman & Diu,14 - Immoral Traffic (Prevention) Act (Women Cases only),8,2014,,,
Daman & Diu,14.1 - Under ITP Section 5,8,2014,,,
Daman & Diu,14.2 - Under ITP Section 6,0,2014,,,
Daman & Diu,14.3 - Under ITP Section 7,0,2014,,,
Daman & Diu,14.4 - Under ITP Section 8,0,2014,,,
Daman & Diu,14.5 - Other Sections under ITP Act,0,2014,,,
Delhi UT,1 - Rape (Section 376 IPC),2096,2014,,,
Delhi UT,1.1 - Custodial Rape,0,2014,,,
Delhi UT,1.1.1 - Custodial_Gang Rape,0,2014,,,
Delhi UT,1.1.2 - Custodial_Other Rape,0,2014,,,
Delhi UT,1.2 - Rape other than Custodial,2096,2014,,,
Delhi UT,1.2.1 - Rape_Gang Rape,147,2014,,,
Delhi UT,1.2.2 - Rape_Others,1949,2014,,,
Delhi UT,2 - Attempt to commit Rape (Section 376 & 511 IPC),70,2014,,,
Delhi UT,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",4034,2014,,,
Delhi UT,3.1 - Kidnaping & Abduction Section 363 IPC,3731,2014,,,
Delhi UT,3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC,0,2014,,,
Delhi UT,3.3 - Kidnapping for Ransom Section 364A,7,2014,,,
Delhi UT,3.4 - Kidnapping & Abduction of Women to compel her for marriage,2,2014,,,
Delhi UT,3.5 - Kidnapping & Abduction of Women-Other,294,2014,,,
Delhi UT,4 - Dowry Deaths (Section 304-B IPC),153,2014,,,
Delhi UT,5.1 - Sexual Harassment,1186,2014,,,
Delhi UT,5.2 - Assault on women with intent to Disrobe,379,2014,,,
Delhi UT,5.3 - Voyeurism,34,2014,,,
Delhi UT,5.4 - Stalking,541,2014,,,
Delhi UT,5.5 - Others,2182,2014,,,
Delhi UT,6.1 - At Office premises,11,2014,,,
Delhi UT,6.2 - Other places related to work,25,2014,,,
Delhi UT,6.3 - In Public Transport system,8,2014,,,
Delhi UT,6.4 - in Other Places,1317,2014,,,
Delhi UT,7 - Cruelty by Husband or his Relatives (Section 498A),3173,2014,,,
Delhi UT,8 - Importation of Girls from Foreign Country (Section 366B IPC),0,2014,,,
Delhi UT,9 - Abetment of Suicides of Women u/s 306 IPC,28,2014,,,
Delhi UT,"10 - Dowry Prohibition Act, 1961",13,2014,,,
Delhi UT,"11 - Indecent Representation of Women (Prohibition) Act, 1986",0,2014,,,
Delhi UT,12 - Commission of Sati Prevention Act 1987,0,2014,,,
Delhi UT,"13 - Protection of Women from Domestic Violence Act, 2005",7,2014,,,
Delhi UT,14 - Immoral Traffic (Prevention) Act (Women Cases only),8,2014,,,
Delhi UT,14.1 - Under ITP Section 5,6,2014,,,
Delhi UT,14.2 - Under ITP Section 6,0,2014,,,
Delhi UT,14.3 - Under ITP Section 7,0,2014,,,
Delhi UT,14.4 - Under ITP Section 8,1,2014,,,
Delhi UT,14.5 - Other Sections under ITP Act,1,2014,,,
Lakshadweep,1 - Rape (Section 376 IPC),1,2014,,,
Lakshadweep,1.1 - Custodial Rape,0,2014,,,
Lakshadweep,1.1.1 - Custodial_Gang Rape,0,2014,,,
Lakshadweep,1.1.2 - Custodial_Other Rape,0,2014,,,
Lakshadweep,1.2 - Rape other than Custodial,1,2014,,,
Lakshadweep,1.2.1 - Rape_Gang Rape,0,2014,,,
Lakshadweep,1.2.2 - Rape_Others,1,2014,,,
Lakshadweep,2 - Attempt to commit Rape (Section 376 & 511 IPC),0,2014,,,
Lakshadweep,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",0,2014,,,
Lakshadweep,3.1 - Kidnaping & Abduction Section 363 IPC,0,2014,,,
Lakshadweep,3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC,0,2014,,,
Lakshadweep,3.3 - Kidnapping for Ransom Section 364A,0,2014,,,
Lakshadweep,3.4 - Kidnapping & Abduction of Women to compel her for marriage,0,2014,,,
Lakshadweep,3.5 - Kidnapping & Abduction of Women-Other,0,2014,,,
Lakshadweep,4 - Dowry Deaths (Section 304-B IPC),0,2014,,,
Lakshadweep,5.1 - Sexual Harassment,0,2014,,,
Lakshadweep,5.2 - Assault on women with intent to Disrobe,0,2014,,,
Lakshadweep,5.3 - Voyeurism,0,2014,,,
Lakshadweep,5.4 - Stalking,0,2014,,,
Lakshadweep,5.5 - Others,1,2014,,,
Lakshadweep,6.1 - At Office premises,0,2014,,,
Lakshadweep,6.2 - Other places related to work,0,2014,,,
Lakshadweep,6.3 - In Public Transport system,0,2014,,,
Lakshadweep,6.4 - in Other Places,2,2014,,,
Lakshadweep,7 - Cruelty by Husband or his Relatives (Section 498A),0,2014,,,
Lakshadweep,8 - Importation of Girls from Foreign Country (Section 366B IPC),0,2014,,,
Lakshadweep,9 - Abetment of Suicides of Women u/s 306 IPC,0,2014,,,
Lakshadweep,"10 - Dowry Prohibition Act, 1961",0,2014,,,
Lakshadweep,"11 - Indecent Representation of Women (Prohibition) Act, 1986",0,2014,,,
Lakshadweep,12 - Commission of Sati Prevention Act 1987,0,2014,,,
Lakshadweep,"13 - Protection of Women from Domestic Violence Act, 2005",0,2014,,,
Lakshadweep,14 - Immoral Traffic (Prevention) Act (Women Cases only),0,2014,,,
Lakshadweep,14.1 - Under ITP Section 5,0,2014,,,
Lakshadweep,14.2 - Under ITP Section 6,0,2014,,,
Lakshadweep,14.3 - Under ITP Section 7,0,2014,,,
Lakshadweep,14.4 - Under ITP Section 8,0,2014,,,
Lakshadweep,14.5 - Other Sections under ITP Act,0,2014,,,
Puducherry,1 - Rape (Section 376 IPC),10,2014,,,
Puducherry,1.1 - Custodial Rape,1,2014,,,
Puducherry,1.1.1 - Custodial_Gang Rape,0,2014,,,
Puducherry,1.1.2 - Custodial_Other Rape,1,2014,,,
Puducherry,1.2 - Rape other than Custodial,9,2014,,,
Puducherry,1.2.1 - Rape_Gang Rape,1,2014,,,
Puducherry,1.2.2 - Rape_Others,8,2014,,,
Puducherry,2 - Attempt to commit Rape (Section 376 & 511 IPC),0,2014,,,
Puducherry,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",7,2014,,,
Puducherry,3.1 - Kidnaping & Abduction Section 363 IPC,4,2014,,,
Puducherry,3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC,0,2014,,,
Puducherry,3.3 - Kidnapping for Ransom Section 364A,0,2014,,,
Puducherry,3.4 - Kidnapping & Abduction of Women to compel her for marriage,1,2014,,,
Puducherry,3.5 - Kidnapping & Abduction of Women-Other,2,2014,,,
Puducherry,4 - Dowry Deaths (Section 304-B IPC),1,2014,,,
Puducherry,5.1 - Sexual Harassment,12,2014,,,
Puducherry,5.2 - Assault on women with intent to Disrobe,6,2014,,,
Puducherry,5.3 - Voyeurism,1,2014,,,
Puducherry,5.4 - Stalking,1,2014,,,
Puducherry,5.5 - Others,12,2014,,,
Puducherry,6.1 - At Office premises,1,2014,,,
Puducherry,6.2 - Other places related to work,2,2014,,,
Puducherry,6.3 - In Public Transport system,0,2014,,,
Puducherry,6.4 - in Other Places,5,2014,,,
Puducherry,7 - Cruelty by Husband or his Relatives (Section 498A),4,2014,,,
Puducherry,8 - Importation of Girls from Foreign Country (Section 366B IPC),0,2014,,,
Puducherry,9 - Abetment of Suicides of Women u/s 306 IPC,0,2014,,,
Puducherry,"10 - Dowry Prohibition Act, 1961",14,2014,,,
Puducherry,"11 - Indecent Representation of Women (Prohibition) Act, 1986",0,2014,,,
Puducherry,12 - Commission of Sati Prevention Act 1987,0,2014,,,
Puducherry,"13 - Protection of Women from Domestic Violence Act, 2005",0,2014,,,
Puducherry,14 - Immoral Traffic (Prevention) Act (Women Cases only),1,2014,,,
Puducherry,14.1 - Under ITP Section 5,0,2014,,,
Puducherry,14.2 - Under ITP Section 6,1,2014,,,
Puducherry,14.3 - Under ITP Section 7,0,2014,,,
Puducherry,14.4 - Under ITP Section 8,0,2014,,,
Puducherry,14.5 - Other Sections under ITP Act,0,2014,,,
Total (States),1 - Rape (Section 376 IPC),34530,2014,,,
Total (States),1.1 - Custodial Rape,197,2014,,,
Total (States),1.1.1 - Custodial_Gang Rape,7,2014,,,
Total (States),1.1.2 - Custodial_Other Rape,190,2014,,,
Total (States),1.2 - Rape other than Custodial,34333,2014,,,
Total (States),1.2.1 - Rape_Gang Rape,2197,2014,,,
Total (States),1.2.2 - Rape_Others,32136,2014,,,
Total (States),2 - Attempt to commit Rape (Section 376 & 511 IPC),4158,2014,,,
Total (States),"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",53112,2014,,,
Total (States),3.1 - Kidnaping & Abduction Section 363 IPC,13178,2014,,,
Total (States),3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC,206,2014,,,
Total (States),3.3 - Kidnapping for Ransom Section 364A,84,2014,,,
Total (States),3.4 - Kidnapping & Abduction of Women to compel her for marriage,30828,2014,,,
Total (States),3.5 - Kidnapping & Abduction of Women-Other,8816,2014,,,
Total (States),4 - Dowry Deaths (Section 304-B IPC),8296,2014,,,
Total (States),5.1 - Sexual Harassment,20688,2014,,,
Total (States),5.2 - Assault on women with intent to Disrobe,6023,2014,,,
Total (States),5.3 - Voyeurism,636,2014,,,
Total (States),5.4 - Stalking,4143,2014,,,
Total (States),5.5 - Others,46257,2014,,,
Total (States),6.1 - At Office premises,45,2014,,,
Total (States),6.2 - Other places related to work,442,2014,,,
Total (States),6.3 - In Public Transport system,113,2014,,,
Total (States),6.4 - in Other Places,7756,2014,,,
Total (States),7 - Cruelty by Husband or his Relatives (Section 498A),119538,2014,,,
Total (States),8 - Importation of Girls from Foreign Country (Section 366B IPC),13,2014,,,
Total (States),9 - Abetment of Suicides of Women u/s 306 IPC,3704,2014,,,
Total (States),"10 - Dowry Prohibition Act, 1961",10021,2014,,,
Total (States),"11 - Indecent Representation of Women (Prohibition) Act, 1986",47,2014,,,
Total (States),12 - Commission of Sati Prevention Act 1987,0,2014,,,
Total (States),"13 - Protection of Women from Domestic Violence Act, 2005",419,2014,,,
Total (States),14 - Immoral Traffic (Prevention) Act (Women Cases only),2052,2014,,,
Total (States),14.1 - Under ITP Section 5,590,2014,,,
Total (States),14.2 - Under ITP Section 6,80,2014,,,
Total (States),14.3 - Under ITP Section 7,120,2014,,,
Total (States),14.4 - Under ITP Section 8,103,2014,,,
Total (States),14.5 - Other Sections under ITP Act,1159,2014,,,
