STATES/Uts,CRIME TYPE,CASES,YEAR,,,
Total (State),Cruelty by Husband or his relatives,115721,2013,,,
A&N Islands,Cruelty by Husband or his relatives,9,2013,,,
Chandigarh,Cruelty by Husband or his relatives,92,2013,,,
D&N Haveli,Cruelty by Husband or his relatives,1,2013,,,
Daman & Diu,Cruelty by Husband or his relatives,2,2013,,,
Delhi UT,Cruelty by Husband or his relatives,3033,2013,,,
Lakshadweep,Cruelty by Husband or his relatives,0,2013,,,
Puducherry,Cruelty by Husband or his relatives,8,2013,,,
Total (UTs),Cruelty by Husband or his relatives,3145,2013,,,
Total (All-India),Cruelty by Husband or his relatives,118866,2013,,,
Andhra Pradesh,Dowry Deaths,492,2013,,,
Arunachal Pradesh,Dowry Deaths,0,2013,,,
Assam,Dowry Deaths,170,2013,,,
Bihar,Dowry Deaths,1182,2013,,,
Chhattisgarh,Dowry Deaths,109,2013,,,
Goa,Dowry Deaths,0,2013,,,
Gujarat,Dowry Deaths,29,2013,,,
Haryana,Dowry Deaths,263,2013,,,
Himachal Pradesh,Dowry Deaths,0,2013,,,
Jammu & Kashmir,Dowry Deaths,7,2013,,,
Jharkhand,Dowry Deaths,307,2013,,,
Karnataka,Dowry Deaths,277,2013,,,
Kerala,Dowry Deaths,21,2013,,,
Madhya Pradesh,Dowry Deaths,776,2013,,,
Maharashtra,Dowry Deaths,320,2013,,,
Manipur,Dowry Deaths,0,2013,,,
Meghalaya,Dowry Deaths,2,2013,,,
Mizoram,Dowry Deaths,0,2013,,,
Nagaland,Dowry Deaths,1,2013,,,
Odisha,Dowry Deaths,395,2013,,,
Punjab,Dowry Deaths,126,2013,,,
Rajasthan,Dowry Deaths,453,2013,,,
Sikkim,Dowry Deaths,0,2013,,,
Tamil Nadu,Dowry Deaths,118,2013,,,
Tripura,Dowry Deaths,29,2013,,,
Uttar Pradesh,Dowry Deaths,2335,2013,,,
Uttarakhand,Dowry Deaths,43,2013,,,
West Bengal,Dowry Deaths,481,2013,,,
Total (State),Dowry Deaths,7936,2013,,,
A&N Islands,Dowry Deaths,1,2013,,,
Chandigarh,Dowry Deaths,1,2013,,,
D&N Haveli,Dowry Deaths,0,2013,,,
Daman & Diu,Dowry Deaths,0,2013,,,
Delhi UT,Dowry Deaths,144,2013,,,
Lakshadweep,Dowry Deaths,0,2013,,,
Puducherry,Dowry Deaths,1,2013,,,
Total (UTs),Dowry Deaths,147,2013,,,
Total (All-India),Dowry Deaths,8083,2013,,,
Andhra Pradesh,Dowry Prohibition Act,1631,2013,,,
Arunachal Pradesh,Dowry Prohibition Act,0,2013,,,
Assam,Dowry Prohibition Act,40,2013,,,
Bihar,Dowry Prohibition Act,1893,2013,,,
Chhattisgarh,Dowry Prohibition Act,11,2013,,,
Goa,Dowry Prohibition Act,0,2013,,,
Gujarat,Dowry Prohibition Act,84,2013,,,
Haryana,Dowry Prohibition Act,13,2013,,,
Himachal Pradesh,Dowry Prohibition Act,2,2013,,,
Jammu & Kashmir,Dowry Prohibition Act,3,2013,,,
Jharkhand,Dowry Prohibition Act,1428,2013,,,
Karnataka,Dowry Prohibition Act,1693,2013,,,
Kerala,Dowry Prohibition Act,3,2013,,,
Madhya Pradesh,Dowry Prohibition Act,72,2013,,,
Maharashtra,Dowry Prohibition Act,43,2013,,,
Manipur,Dowry Prohibition Act,0,2013,,,
Meghalaya,Dowry Prohibition Act,0,2013,,,
Mizoram,Dowry Prohibition Act,0,2013,,,
Nagaland,Dowry Prohibition Act,0,2013,,,
Odisha,Dowry Prohibition Act,2014,2013,,,
Punjab,Dowry Prohibition Act,3,2013,,,
Rajasthan,Dowry Prohibition Act,57,2013,,,
Sikkim,Dowry Prohibition Act,0,2013,,,
Tamil Nadu,Dowry Prohibition Act,305,2013,,,
Tripura,Dowry Prohibition Act,1,2013,,,
Uttar Pradesh,Dowry Prohibition Act,1277,2013,,,
Uttarakhand,Dowry Prohibition Act,0,2013,,,
West Bengal,Dowry Prohibition Act,107,2013,,,
